topic_id,keywords,label,mentions,sample_reviews
25,"load, article, long, news, story",Load & Article Issues,77,"[""Can't load/play contents. And NO, there are no problems with my internet networks."", 'either takes too long to load/ or has an error message.', 'will not load on my phone since the last update! have been through all the steps to fix.', 'Nothing will load or play anymore. Fix your app!', 'some how im not able to load various episodes..please assist', ""this app is great but recently there's an issue where it will not load most episodes of a cartoon or show im trying to watch. it just wont load at all"", 'Wont load on my phone recently. Also startimg to get too expensive to keep.', ""The app refuses to load the movie, I've been trying for the past 2 days but each time I try to load anything it crashes my system"", ""I can't watch my movies again, and it is not my network, too It continues to load and will never come, and it will never"", ""what happened this app can't working i haven't load why can't working arrggg"", 'does not load videos to watch. which kowkey was why I ordered the service.', 'ever since Netflix pushed me to the update 2 days ago I have had nothing but problems. it will not load it will not load it will not load nothing wants to work!!!! please fix this issue. otherwise why am I paying for the service', 'Awesome app, but it takes too long to load anything.', ""I wasn't able to load it so I uninstalled it and now I can't install it again."", 'The app was working great before the last update. Now, when I cast from my phone, the app just hangs does not load, and when it loads, it plays a bit, then pauses.']"
16,"new, line, old, device, transfer",New & Line Issues,74,"['it is all right but needs some new movies.', 'thank you so much I just want to get more update on new movies😎👑', 'This new Netflix update is garbage. The menu is even harder to use now. Just go back to the old layout', 'two device are stord now i cant download netflex on the new device', 'the new interface of Netflix is the worst', 'becoming worst day by day...old series and movies... nothing new', ""just did the new update on my device, now Netflix won't work"", ""don't late give me new movie and new episodes"", 'Netflix change the new update in TV . please bring back the older version where there are options like categories....', 'Deducted my payemnt from Tng ewallet without knowing ! No new movie updates ..', ""why can't Netflix can't update on this device"", 'Nice App Every new Movies will be there. Controls Are Good.', 'Dear, Netflix please upload all old to new movies in Hindi dubbed please.thank you 🙏🙏', 'Sarah is my name from Afoako I am 18 years old', 'UNDESIRED‼️ HOW TO TAKE OFF MY DEVICE? PLEASE‼️']"
4,"log, password, code, hard, verification",Log & Password Issues,72,"['i cannot log in in my account what happening i am so disappointed it always says pls log in later but it is already 5 hours', ""I can't log in because it say it not compatible with my system"", 'too hard to log in very slow in updating log in and username waste of time and money', ""I'm able to log in on other devices but I can't log in on my device... why? I've updated both the phone and the app.... but still..."", 'you guys are stressing me,if I log in you will log me out again', 'This is a totally worst app, I am very upset, I am not able to log in, I am trying to log in for the last one year but I am not able to log in, I hate it.', ""I can't log in because it say it not compatible with my system."", 'Too complicated to log in from multiple places.', 'Unable to log in via app install, keep forwarding me to browser, Unable to recognized my log-in method', ""I understand the adds but most days I turn it on and can't even log in. so what am I paying for again?"", 'Is it free to log in, at least? The answer is no.', 'I never saw anything since i opt to log in.', 'sometimes it log me out but is very helpful in time of washing new movies', ""I have downloaded netflix but I can't log in but it deducts my money from alipay, so bad, twice it has deducted my money from alipay even though I can't log in"", ""So many times I have to log out and log in on phone. That's so annoying""]"
5,"login, email, unable, error, issue",Login & Email Issues,71,"['Says too many login attempts and blocks me out', 'why keep crashing? and now i cant login to my account', 'Only one account is login then also it is showing more accounts are login and not able to see any content', 'The login is not working both by code and password', ""I can't login to my premium account use this account"", 'My netflix account automatically asking login. After login showing different account. Some time not login. Fix this bugs', ""why can't I login my account to the app but no problem while login it to the web browser??"", 'BAD SERVICE AND ID LOGIN THIS APP IS VERY UNLESS', ""it is hard to login i don't like absolutely"", 'worst experience for login and payment support, and also very irrational verification and login', ""worst instructions... finally I couldn't login bcz of ur foolness .... nowadays should be simple and easy to login but here it's totally different and very very headache to login.. please change the rules"", ""very bad login very worst app don't install"", ""App doesn't work, login fails. Reset password, login still fails. Works fine on PC and TV"", ""WORST APP KEEPS LOGGING ME OUT. I CAN'T LOGIN BACK. EVEN USING MY PASSWORD IT WON'T LET ME LOGIN. TRIED THE CHANGE PASSWORD AND LOGIN USING CODE. IT KEEPS PROMPTING ERROR. PAID FOR MONTHLY FEES BUT GOT A USELESS APP"", ""give me my money back you've debited me and yet I can't login into my account why""]"
13,"problem, solve, help, fix, tiktok",Problem & Solve Issues,71,"['I am not able to solve the update problem', ""Worst can't play anything, network issue problem facing every time"", 'When you have a problem, they will not help you', 'I have an error occuring 5.8 please solve this problem', 'Meny problem in Netflix and propaly not working and', 'Love everything about the app but the problem is Video not playing sometimes, 5.10 problem, and worst part is customer care not helps too much to solve the 5.10.issue', ""my netflix always have problem. can't watch.."", ""my phone is saying that I can not play a series because of my android has a problem but it really does not have a problem I just want to wach but this thing doesn't want me to wach the series. I just to wach a series please fix this problem and please add more seasons thank you"", ""it didn't play video sometime just loading the whole day i face this problem many times i thought once I update the app it will resolve but nothing happened still the problem continues... once I restart my phone then it will work properly when the problem occurs I need to restart my phone then I watch videos this happened in only netflix app also my mobile is new ( realme p1) i didn't get any resolve this problem"", 'please fix your 5.8 error problem. I have been facing this problem, I did everything from my side but you need to fix this', 'I can move up or down on the screen which is a huge problem', 'please fix the flickering problem for pixel users.', ""There is a problem playing the video. Please try again. (5.10) this is the problem when I'm using netflix in a2 redmi l please fix this issue as soon"", 'already I have subscription for one month more again Netflix app is showing repayment due? I have same problem at last month I was created new account also again same problem 😡😠', ""everything is nice about this app but can't see in full screen there is some problem.""]"
20,"try, error, say, later, day",Try & Error Issues,68,"['Not working.. says error anytime I try to open app', ""why can't I open or create an account In my phone... and whenever I try to contact you guys there is an error to it?"", 'crashing too much giving an error (5.10) every time I try to play anything', ""can't watch a thing offline, keeps give me error everytime I try to open a download video"", 'well you try marathon it, and it goes error and needs to reinstall, do a debugging', 'despite uninstalling and reinstalling the app, all videos I try to play say ""there is a problem playing the video. pls try again"" or ""this title is not available to watch instantly. pls try another title."" this is happening to everything.', ""App won't let me log in. I log in with Chrome on my phone. Then I try the app on the same phone and it tells me the password is not correct. After two tries of the same password that I just used, I try switching to signing in by sending a code and it tells me to try later, too many attempts. Next day I go straight to code and it tells me try later, too many attempts. I guess one is too many. So not sure what's going on but it's not working at all for me on Samsung S22 base model."", ""Some time error are appearing, can't see the movies."", ""whenever i try a subscription they say this account isn't available or something like that"", ""I can only able to watch on the first day of recharge and than when I try it on second day the app won't open it says that netflix isn't response so I restart my phone and try it again, I was able to login but the video can't be play of how many time I try."", ""Sometimes it's loading for a long time, even for days i couldn't watch anything. Try fix this issues I have been dealing with this for years now."", ""I hate it it will not work so I'm just going to like not download it so goodbye this app this does not work do not try every time I like try to login again don't use it warning you"", ""better I try other ott channel, it's worth, try to connect coustmer care but no response."", ""So sick of the poor service, try to get to your account to cancel. No luck!!! I'm going to uninstall and see if they try to reach me?"", ""scammers 😡 t they just try to charge you anytime even you don't use for while !!! always you cancel everything with them because even you don't pay for months or longer they will always try to charge you""]"
22,"trash, absolute, garbage, complete, absolutely",Trash & Absolute Issues,60,"['trash absolutely horrible customer service', ""trash app don't download, tgey are money grabbers"", 'app is trash now not even worth the mb of place', 'Hateful, perverse nasty over priced trash.', 'Trash, it made me change my password because I thought it was wrong. Then, when I changed it, it still said it was wrong. Trash and a security problem', ""trash. when you let me back into my account I'll think about changing it."", 'ads for a paid service trash always laggy', ""what trash aloways when one movie have something important it's finished movie....I'm impressed by this trash to watch on one incomplete movie or wathever stupid things can be as series"", 'mobile app is trash. freezes all the time.', ""why is this app sooo trash i can't even watch after paying the bill"", 'just about every new show is American trash. 30 bucks a month for no adds . this app is trash too . rather give the money to disney +', 'Doing absolutely everything they can to get me to cancel. Adding ""games"" to my video streaming app? Trash decision. Now messing with casting for a money grab? Another trash decision.', 'add back fast furious this app is so trash since its only thing i watch there', ""deducting my money even I didn't allow it such a trash Netflix."", ""RIP CHARLIE KIRK. Netflix is trash and I'll be canceling my subscription""]"
14,"song, play, premium, music, listen",Song & Play Issues,56,"['Everything was good, but suddenly, I was unable to play anything.', ""it use to be good now I try and play some things and it won't play anything with out kicking me out of the app on my tv and I pay so much for this and don't even work properly"", ""this app didn't work at all try to play vedios but it's doesn't play please fix this"", ""everytime i play any show ,it doesn't play i have to go back and play again and again and again, (error 5.1)"", 'it always show error and i cant play any videos.', ""sometimes i can't play the movie..i don't know why.. can someone help me."", 'REALLY!? 2 UPDATES IN 1 MONTH? WHAT CHANGE BESIDES THE FACT THAT I CANT PLAY ANY VIDEOS NOW?', 'very good but whats up with this titel wont play instanly', ""it stucks very much and didn't play downloaded movie"", ""I can't play on netflix, when I click play it doesn't continue. Its been 3 hours and still not possible."", 'stop working. No, play any movies. i about to stop my subscription .', 'Most of the time it will just not play the show or movie.', ""My google play is not google playing, I tried to download the Netflix app so I could play the Netflix games but I don't have the google play app I have to go to the website on google because how can you get google play on the google play store if you dont have google play? Anyways I tried to download I and it wouldn't let me, yes I am 12 judge me all you want but I am going full Karen mode and I'm gonna sue google play and Netflix, so byeee bc I'm bouta get richhh."", ""It's not on my phone and when we download it.We just play.We watch t v on an our phone but then it stopped on our phone."", ""can't play Netflix during call on s24 ultra...""]"
18,"delete, hate, chat, option, memory",Delete & Hate Issues,51,"['Yet another pointless app that I cannot delete.', ""Been good, I just wished they didn't delete old movies and anime's."", ""I can't delete this app from my phone no matter how much I try to"", ""Delete Mr Peabody and Sherman then I'll delete you how dare yall😭"", 'working but I delete it but it not working why😭😭😭', 'wish I could delete this app from my phone to free up space', ""auto installed on phone and can't delete."", 'bad application for movies because all old movies and good movies like avengers and behind enemies line and more you delete it 🙂 😒 🙃 😑', ""how do I delete this app, I don't want it."", 'after 12 years of using the app, I decided to delete it now after raising their price', 'bad app according to me, because it delete download movies automatically after few days', 'I cancelled my account but cannot delete the app from playstore.', ""How to Delete App? It was pre-installed, or installed on an update. Don't have or want an account, would like to delete app to free up space for things I want on my phone."", 'Please explain how I can delete this from my phone.', ""if Steve Harrington died, then I'll delete Netflix""]"
24,"poor, service, customer, support, performance",Poor & Service Issues,43,"[""poor customer service, can't even buy membership. so bad."", 'bad experience payment done app is not working and poor customer service', 'Poor working app poor choices very expensive for what you get.', ""very poor, you don't have even something new"", 'Netflix would not refund accidental subscription even customer service is very poor', 'very very and very poor performance and too much expensive', ""after the update I get poor quality service on 720p pack because it's too blur to see anyone on the mobile phone i can't able to watch and that I watch only on my smart phone, before the update the video was clear and now this is so poor please find my query and solve it and clash in Paris too bad quality to see"", ""this app is not recommend for poor people like me I can't afford that much"", 'No video. Only audio. Poor customer service', 'this aap is very poor.. I hate Netflix 🇮🇳', 'My initial experience with Netflix was with the 199 plan, which resulted in poor quality at lower than 480p. Even with the 720p plan promised, the quality was still poor.', 'Very poor experience video quality is very poor 💩 no option to auto change video quality I will never buy Netflix subscription', 'I am very poor I am use Netflix free plzz help me 🥺🥺😢😭😭', 'very poor some time it took me out from the app', 'Poor app, only show old movies. Do not know where are other movies.']"
