topic_id,keywords,label,mentions,sample_reviews
6,"slow, skype, network, android, laggy",Slow & Skype Issues,32,"['not updateding immediately and to much slow process all', 'My app is streaming slow for some apparent reason', 'Lots of bugs, sudden errors outta nowhere, slow speed.', ""Being slow for no reason other than Netflix's fault. too often Netflix will just stop working and it just spins right in the middle of a show. It's not my end, I check every single time."", 'full of bugs, loads slow, have to restart application or keep on loading movie or series to play before starting', ""Absolute garbage! Deletes your downloads constantly, and runs slow, and low-quality video even when I'm running around 500mbps."", 'netflix has been running a bit slow lately, i dont know what the issue is exactly, but its kind of annoying.', ""Since yesterday my netflix view speed is very slow. I've cleared my storage and yet it's still same thing. Honestly I'm tired of it"", ""very slow movies aren't loading in please fix"", ""I don't like the fact that you slow down downloads. Absolutely abhorrent."", 'Infinit loading screens, overly complex, slow and buggy, good luck.', 'the only thing I complained is how slow the Netflix update some movies', 'the glitch occur while watching series the sound has been slow automatically solved this problem.', ""Play back seems slow and audio is WAY TOO SLOW...still! this was 2013, it's now 2025. 🤦🏽\u200d♂️ AND the price went up!"", 'Please add in tv video speed slow and fast option and most of movie and series not in hindi 😫']"
8,"game, play, level, lose, progress",Game & Play Issues,31,"['into the dead 2game game after update not play play resolved problem', 'I love the game feature however I cannot give a higher rating at this time. games constantly will show nothing but a black screen at random which doesnt allow for proper game play. until this is fixed my rating will have to remain as is.', 'you game list is not good on the tv list there are better game to put on here please fix need games like into the dead and samauri showdown power rangers also', ""worst app ever i really need subscription just to play one game y'all just allergic of users y'all are money hungry asf"", 'Why did you delete the chicken one game i like it i needed to play chicken run', 'if you play games with Netflix and there is a problem with the game they will not fix it. this app is fine if you just want movies though.', ""the app is good but the game, to be specific, storyteller game, can't be installed to my device. it says the app is made for older versions of android. and it dissapointed me. I hope you can maybe update the app?"", 'Netflix game is not working in my device and my android version is 13 it not working', 'Needs a switch to opt out of game recommendations.', 'Mobile game spam makes it much harder to find anything worth watching', ""I know the game features is new, but stop showing it at home page. It's really disturbing to see the game that didn't interesting keep showing when I open the app, the visual of the game is not even nice. The game feature alr got individual page, what the point for having that in home page? Please consider to customize it. I also need features for hide the genre I don't like, bcs I have no interest to watch some movies and it keep showing. And also, the recent watching section is gone :("", 'I installed this app because of Squid game! 😍', 'my Netflix which I have my game on an movie extra paid for', ""This has straight up mobile game ads in it, that's not even a joke"", ""Really like this, although I can't help but wonder if Netflix is going to make a Pokemon Netflix game one day. 🤔""]"
7,"download, movie, waste, file, offline",Download & Movie Issues,25,"['Cannot download the movies and there is another errors', 'How is it that can not download movie here', ""I can't download my movie even though there's download option"", 'All the time I download movies my movie download get freeze is not begging good', ""It's a very good app but why can't I download the movies anymore,it's even on same phone"", ""Sometimes it just wont let me download even though the app is up to date. Also every movie i want to see isn't on this app"", ""can't download on pc, having problems to download on phone"", ""whenever I try to download an app it tells me couldn't download"", ""I'm trying to download Netflix in my ipad but it's not getting download kindly fix it"", 'it sucks! i cant open the app, i try to re download it then suddenly all my saved videos are all gone! and i cant even download it', ""Why can't I watch my download when I'm offline?"", ""I can't download Netflix reagain Pls solutions"", ""Yesterday, I could download 25 episodes of Brooklyn 99. Today, I can't even download 10. I'm only allowed to download 9 of Brooklyn 99! Fix this issue, please."", ""It takes a long time to download. Let's see what they turn into.When I"", 'it does not want to download and am using 5G 💔']"
1,"ad, annoying, pop, article, lot",Ad & Annoying Issues,21,"['I hate it why, I thot it was ad free and then my first ad, then 3 in 10 minutes now 4 ads pr 2 second.', ""I love this application because it doesn't contain ad's"", 'the lips dont match the sound after ad breaks. infuriating', 'The ad free version is not worth the money', ""No longer using ad service and being forced to add personal details for ad personalization. Haven't found anything worthwhile on the platform in a while anyway."", ""scum and a scam because for live events they force you to sit through the ad. you close the app so it can pass no once you go back in your watching the ad but dont worry once you catch up to the event you'll get to sit through more ads!"", ""I dont pay just to watch ads. If I only watch 3 or 4 ad breaks per 1 hour episodes of certain shows then why is there 3 ad breaks per 20 minutes of anime. That is flat out dirty. I will cancel again after this month its ridiculous. I will not be punished for your millions($$). Fix it or I am done and will go elsewhere since netflix is slacking on new content that I dont have to read subtitles. It's still the same content since 2020 not much new english content with out subtitles."", ""can't use ad-plan when travelling overseas."", ""content availability it's extremely stupid kraven can't be watched on all plans and that ad free is more then 2x price"", 'Netflix is exceedingly expensive and the ad version has zero features.', ""Corporate Greed at its best, from inflated membership tiers, with diminishing benefits, to the now lowest tier with more ads than a news paper backpage. I cannot believe how Netflix started, and where its come, they have been take over by people so out of touch with the point of this service. Its just ad, ad, ad now. Back to self-hosting it is. I wasnt going to pay $24/month for garbage, im definitely not paying $10/month for the same garbage with ads. Cya Crapflix. Don't use this service."", 'Netflix was once the gold standard of streaming—simple, affordable, and completely ad-free. Users could binge shows and watch movies without a single interruption, making the experience smooth and enjoyable. But things have changed. Netflix has introduced ad-supported tiers, and even the cheaper plans now include commercials. While ad-free options remain, they come at a higher cost, frustrating longtime users who remember when ads weren’t part of the deal.', ""watch an ad to start a show. fast forward to where you left off and watch an ad. watch 2 mins of a show and another ad. content isn't even worth it. and you pay for this experience...."", 'Can no longer cast to Chrome, on ad supported version, so price would be driven up by $132 a year. Will no longer use.', ""The best app ever it's ad free and so never interrupts while watching any content whether it's downloaded or not, its best feature is the downloads it's quite fast and so there's nothing compare to this app 👍""]"
17,"crash, constantly, android, day, start",Crash & Constantly Issues,15,"['Crash constantly for no reason just 5 mins ago, cant open it', 'often trouble in my tab, apps often crash', 'Crash Application and Running Application then Device Restart', 'netflix is crash, it always forcing to stop and close by itself everytime i open it', ""the app seems to crash. I've tried restarting my phone & uninsttaled-installed the app but nothing helps. where can I ask help for this??"", ""It's useless, crash after crash. update or pre update. install or uninstall. It will not work & im pissed. Pay for something & it doesnt work, that's the American way!"", 'Playback issue occurs on Samsung Galaxy A53 5G followed by a crash that causes phone to restart itself', 'these two days app in mobile keep crash..', 'Every time I try to play LEGO Party, the app on my phone will crash Every Time I connect my controller! Please fix!!', ""hello dear why WWE 2k25 Netflix edition not compatible with may device may device ram 4gb android 15 processer mediatek HelioG36 we want to play WWE 2k25 Netflix edition I'm big fan wwe 2k25 Netflix and also crash problem in high devices please fix crash issues and work 4gb ram devices please please 🥺🥺🥺🥺"", ""All of a sudden there is a crash and the video does not play. even if you uninstall the app, clear it's data. nothing works"", 'I loved Netflix in till It started glitching and was all squares like the old television and I have to uninstall it and for a moment it will be just fine and then crash out again 😞', ""decent,.but often PIP doesn't work and causes my phone to crash to lock screen""]"
0,"account, suspend, reason, create, ban",Account & Suspend Issues,15,"['l give this app one star because of my account is not allowed on this app Netflix banned my account for 1 year', ""why are you charging me, Even though I don't have an account?"", 'netflix account not credited this is aritede', ""always need account and its annoying me because i don't know how to do a netflix account :(."", 'I have an account an 2 homes. I want to use my account where I am. This app stinks', ""I was charged but I don't have netflix account!!""]"
28,"number, register, code, viber, email",Number & Register Issues,15,"['Not so good changing phone number is not working', 'I tried to sign in but it said I needed a valid phone number THATS MY PHONE NUMBER!!', ""I don't really know what to do anymore. Ive been struggling to sign into my Netflix account the past months and it was not working. I did the email and password and it made me put in my phone number. so I put in my phone number and it said put a proper or actual phone number and I did put my actual phone number in. still, won't work. I did it again and again and it won't work I tried everything please fix this."", ""wrost app can't work with my mobile number"", 'Try to change the payment method from TnG to hotlink mobile billing but keep getting unable to use this number if keep going then I have to say goodbye to your service..', ""can't change payment method. When input phone number always comes out something went wrong."", ""I gave my number and email but it still didn't open 😡"", 'Please fix your android TV app. After update, the profile lock shows the number keyed on the number pad. The previous version did not show the numbers keyed on the number pad. Please hide the key presses.', 'I have account for over 10 years. Yesterday I got charged £18.99 ( was £10.99) and today they have deleted my email, so I couldn\'t login. After waiting for live chat help. I have been told to ""update my email"" - but actually I have been forced to change my email and add phone number. Not cool at all', ""they are literally thieves stealing our money without our consent. We don't have any say any ticket number complaint number if we are not satisfied from their policy. this is absolute heist on people money"", 'Horrible, the literal day I got it it stopped working and said it was having issues then it gave me a number to call for support but the number never picked up', ""I download Netflix and it opt out on me.I couldn't Finish to download and it's got my credit card number already."", ""number one worst app don't us anyone west of time in my life""]"
23,"suck, facebook, ai, post, change",Suck & Facebook Issues,12,"[""they removed your lie in april, suck>:'||"", ""the ads keep getting longer and more numerous you guys suck Right back to the '90s commercials and all"", ""Netflix seems to suck lately can't even steam my favorite shows without it freezing up you guys are charging way to much to be having these issues get it fixed only app that seems to do this...."", 'this latest update ruined to whole experience. it you were teying to get people to cancel their subscriptions, you succeeded. fire whoever is in charge of the UI cause they suck. 5/23/25', 'horrible the new update dosent let you stream in different loacation this company is greedy and their prices are outta this world. the movies suck and the shows are bad nothing good.', ""again why 3 day streak I can't watch.. I opened the movie and its say loading all the time.. 3 year before so good why this year suck.."", ""Your deleted I'm tired of how you treat people on service download stuff I don't have your permission to do it and drain my data all options was pushed to wifi only and when I want to download only no you over ride system and give me garbage to watch plus drain data when offline you suck big time I already pay a cable fee for your service on my box I'm also going to take that off as well you suck for business"", ""I can't find any interesting movie, this app suck man no marvel movie or series not even guardian of galaxy and thousand more"", 'old movie and suck movie. not revomanded.', 'Tamil subtitles are low quality, inaccurate translations. How can you suck this much even when AI is easily accessible?', ""it's a good app but the trailers suck big time....they should work on how to advertise their products on the app....I always have to go to YouTube to see the trailer then come back ,. 😞""]"
3,"file, need, dropbox, upload, share",File & Need Issues,8,"[""very bad no need longer I don't want to see again"", 'Need more movies not the same for two months']"
9,"message, send, notification, receive, chat",Message & Send Issues,6,"['it gives you time to write or send messages', 'Very bad service, you are not asked for any mail or normal message for the upgrade.', 'Unable to update the application. Please send me your review.', ""is the message I am seeing when I open Netflix telling me my device isn't part of the Netflix household for this account , options are I can create a account, sign out, or copy a link. that is on the message. or I can have a code sent so I can watch temporarily.its the same phone I had when we first got Netflix through our phone service, not the first time seeing this message it comes and goes. not sure what to do, I took a screenshot of the message if needed.thank you."", ""The terms and conditions message pops up while I'm watching, now it kicked me out. I can't access the app even after I upgrade, very disappointed ☹️"", ""the app is not working anymore on my Google pixel phone. I updated and it still is not working. I'm getting an error message""]"
