cluster_id,label,keywords,estimated_volume,is_flagged,momentum_pct,sample_review_1,sample_review_2,sample_review_3
0,Video & Streaming Playback,netflix,64,True,0.0,while I do love netflix since I was 7. netflix has changed. and I do not like it. if it wasn't for stranger things or go,Don't watch Netflix at all,i will watch Netflix but pls don't remove the friends series from Netflix we can't handle that sadness and loneliness 🥺
1,General App Feedback,worth,55,True,0.0,give me my 2hrs worth of suffering back,not worth the cost,"was about to restart my plan.. saw the price.. hell no, ill restart cruchyroll"
2,General App Feedback,hindi,55,True,0.0,"Netflix has a really great collection of anime, and I truly enjoy watching it. Anime is becoming very popular in India, ","bhai sab badhia h par agar india me chije upload kar rhe ho atleast hindi me daala kro, indonesian movie daalte ho aur l",Cleopatra webseries Hindi dubbed me chaiye
5,General App Feedback,"movie, movies",44,True,0.0,"The movies you put are sucks, give a movie with a rating of 7 to 10 not 0 to 4!!!",would give 5 stars but u guys bring alot of movie very late I mean try bringing movie fast,it's not that bad but not that good cuz sum movie that I wanted to watch wasn't there so....
3,Customer Support,that,43,True,-100.0,"it's pointless to get this app for the phone! you can't even see anything the screen goes black, but you can hear everyt",App is working but the cast icon is not showing on the Android phone. I tried the trouble shooting and they didn't help ,"If you watch on Google pixel, you cannot control brightness through the app. There's a brightness slider, yes, but the b"
4,General App Feedback,"shows, they",42,True,0.0,Many series. All LGBTQ Used to promote,not appropriate content bad tv shows that influence our children and community,why the they removed friends series
