word,weight
aa,-0.8316985267872748
aacha,-0.10428519378379913
aap,0.4592067793851955
aap good,0.21449616813811542
aap hai,0.20819399986337622
aap log,0.3273817191422495
aata,-0.47958276514361653
aata hai,0.0970615628547468
aati,-0.49298792674961656
ab,-0.8788814749522855
abandon,-0.3682386985569935
abhi,0.6085231876034075
ability,-1.07163416842896
ability cast,-0.6526383984743486
ability send,-0.5545483375897289
able,-1.1561983388993755
able access,0.48066042139580434
able add,-0.29976011725565543
able change,-0.7614882436506666
able chat,0.047866448744681225
able communicate,0.11569994844969887
able connect,0.0287060715269475
able create,0.0036796086753911115
able delete,0.15966855379832467
able download,-0.8673839825434128
able edit,-0.413120191142126
able find,0.4282804208299946
able listen,-0.0370419062879617
able log,0.08143382379323115
able login,-0.875664446135316
able open,0.23591350294298555
able play,-0.6004348446140845
able read,-0.0178341590899788
able save,0.06384928818950729
able send,-0.2003618666509811
able share,0.4803253237270653
able sign,-0.759567585782905
able talk,-0.02186294965573433
able use,-0.7786392703151503
able watch,-0.3160691245345676
abroad,0.6972428156066539
absolute,-0.5599951922198226
absolute bad,-0.3625484943016766
absolute garbage,-0.6874022582320586
absolute trash,-0.3085676833573297
absolutely,0.08143021780454085
absolutely amazing,0.7312036060820608
absolutely good,1.1630829971079573
absolutely hate,-0.3346890800964743
absolutely horrible,-0.244826429250736
absolutely love,1.0312996032135313
absolutely reason,-0.39203909484210464
absolutely ridiculous,-0.6548075165015098
absolutely terrible,-0.26399495185300037
absolutely trash,0.18834046970361246
absolutely useless,-0.507722634953765
absurd,-1.4170147489888332
abt,-0.43077881310647015
abuse,-1.7118332579386883
abusive,0.22540922905234423
abysmal,-1.1727260804183097
ac,0.12459864446954193
academic,0.3674744549298823
acc,-1.6537087261822503
acc not,-0.02984791461360276
accept,-1.5161305013753728
acceptable,-0.19867127090375483
access,-1.4856422900526798
access account,0.2213979684223501
access app,-0.426806352559301
access contact,-0.179138322259068
access device,0.3704090302310414
access file,0.7524796005913903
access line,-0.253227680753404
access not,-0.3146325229784991
access old,-0.43907956483840266
access phone,-0.41745629513148563
access photo,-0.2022253414037613
accessibility,-0.6008902500480875
accessible,-0.28409688155116986
accha,1.5794788583804353
accha hai,0.438241701500063
acchi,0.5303198422720896
accident,-0.04645996747884209
accidentally,0.2591394887825023
accidentally click,-0.0117412118810766
accidentally delete,-0.007835613362648743
accord,0.09596878034911498
account,-1.8129845009386707
account able,0.5205426559471684
account access,0.48691724993279606
account account,0.19721656629012893
account add,-0.6066044787424123
account allow,-0.23034530202840528
account anymore,-0.034233160908634104
